sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Predicted size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Predicted size (seq)	True positives (seq)	True size (seq)
pool	85019	Brevibacteriaceae	family			18226	0				3	0	
pool	267890	Shewanellaceae	family	0.0		384969	0		0.0		10	0	
pool	2004	Streptosporangiaceae	family			119841	0				7	0	
pool	69657	Hyphomonadaceae	family	0.0		417019	0		0.0		4	0	
pool	145360	Sanguibacteraceae	family	0.9998506862061368	1.0	4393432	4392776	4392776.0	0.9	1.0	10	9	9.0
pool	2005525	Tannerellaceae	family	0.9859198296048668	0.6661314462185332	2640451	2603273	3908047.0	0.875	0.42857142857142855	24	21	49.0
pool	337677	Cricetidae	family			25268	0				3	0	
pool	10066	Muridae	family			103774	0				27	0	
pool	7895	Coelacanthidae	family			1615	0				1	0	
pool	481	Neisseriaceae	family	1.0	0.9771902375145782	2271509	2271509	2324531.0	1.0	0.7916666666666666	57	57	72.0
pool	72276	Ectothiorhodospiraceae	family			247912	0				7	0	
pool	45401	Hyphomicrobiaceae	family	0.9847130315993334	0.01602007075218633	595867	586758	36626430.0	0.8333333333333334	0.04065040650406504	12	10	246.0
pool	85026	Gordoniaceae	family	0.0		13980233	0		0.0		48	0	
pool	1648490	Rubritaleaceae	family	1.0	0.7712471630134498	3331915	3331915	4320165.0	1.0	0.4090909090909091	9	9	22.0
pool	204431	Fibrobacteraceae	family	1.0	0.3215909368287444	1053995	1053995	3277440.0	1.0	0.2	30	30	150.0
pool	68298	Syntrophomonadaceae	family		0.069291491922384	158145	150153	2166976.0		0.041666666666666664	5	4	96.0
pool	1853231	Odoribacteraceae	family			51494	0				2	0	
pool	2008790	Thiobacillaceae	family			60370	0				3	0	
pool	2008793	Sterolibacteriaceae	family			64350	0				5	0	
pool	1046	Chromatiaceae	family			54473	0				6	0	
pool	213116	Desulfomicrobiaceae	family	0.6961944843545372	0.3307619818535477	1179735	821325	2483130.0	0.45454545454545453	0.25	11	5	20.0
pool	186818	Planococcaceae	family			96563	0				10	0	
pool	403	Methylococcaceae	family			17706	0				3	0	
pool	186827	Aerococcaceae	family			219800	0				2	0	
pool	2005523	Paludibacteraceae	family			64442	0				3	0	
pool	4710	Arecaceae	family			32473	0				2	0	
pool	415002	Puniceicoccaceae	family			8343	0				1	0	
pool	2146	Acholeplasmataceae	family			69942	0				3	0	
pool	191394	Deferribacteraceae	family			233343	0				3	0	
pool	81852	Enterococcaceae	family	0.560331897506173	0.09648404030695674	478702	268232	2780066.0	0.4666666666666667	0.08139534883720931	15	7	86.0
pool	2058185	Dictyosteliaceae	family			1334	0				1	0	
pool	2036754	Chelatococcaceae	family			84478	0				2	0	
pool	31	Myxococcaceae	family			2691	0				3	0	
pool	213117	Desulfohalobiaceae	family	0.0		463830	0		0.0		4	0	
pool	1331736	Ruaniaceae	family			2784	0				1	0	
pool	1963268	Haloarculaceae	family			135739	0				8	0	
pool	1737406	Tissierellaceae	family	0.9517438208202301	0.19519733049042345	1049047	998424	5114947.0	0.8421052631578947	0.13675213675213677	19	16	117.0
pool	474943	Cordycipitaceae	family			345	0				1	0	
pool	72275	Alteromonadaceae	family	0.0		452874	0		0.0		11	0	
pool	191412	Chlorobiaceae	family			47002	0				1	0	
pool	75787	Rhodocyclaceae	family	0.3762874586382067	0.03796991234800454	429140	161480	4252841.0	0.42857142857142855	0.038461538461538464	14	6	156.0
pool	224372	Alcanivoracaceae	family			37606	0				4	0	
pool	5654	Trypanosomatidae	family			25260	0				2	0	
pool	32011	Methylophilaceae	family			6841	0				3	0	
pool	7100	Noctuidae	family			4132	0				3	0	
pool	9363	Erinaceidae	family			46762	0				3	0	
pool	118882	Brucellaceae	family			92363	0				7	0	
pool	31993	Methylocystaceae	family			180661	0				18	0	
pool	9133	Fringillidae	family			948	0				3	0	
pool	31953	Bifidobacteriaceae	family			23651	0				2	0	
pool	1653	Corynebacteriaceae	family			217145	0				10	0	
pool	206349	Hydrogenophilaceae	family			12826	0				1	0	
pool	9705	Odobenidae	family			16373	0				2	0	
pool	255474	Parvularculaceae	family			28085	0				1	0	
pool	213421	Desulfuromonadaceae	family	0.9936939531568566	0.4843780299602469	1930528	1918354	3960448.0	0.9090909090909091	0.23809523809523808	11	10	42.0
pool	1903414	Morganellaceae	family			81508	0				13	0	
pool	85016	Cellulomonadaceae	family			155219	0				8	0	
pool	1937968	Bernardetiaceae	family			66032	0				2	0	
pool	74712	Frankiaceae	family			88229	0				4	0	
pool	90627	Gallionellaceae	family			32159	0				1	0	
pool	186820	Listeriaceae	family	0.0		327068	0		0.0		7	0	
pool	81850	Leuconostocaceae	family			199002	0				7	0	
pool	143786	Brachyspiraceae	family			9386	0				2	0	
pool	1442156	Ferrovaceae	family			7327	0				1	0	
pool	186824	Thermoactinomycetaceae	family			142300	0				3	0	
pool	1524215	Anaeromyxobacteraceae	family			147181	0				1	0	
pool	85034	Glycomycetaceae	family	0.9955435120687225	0.802186367746478	4468990	4449074	5546185.0	0.8181818181818182	0.42857142857142855	11	9	21.0
pool	119043	Rhodobiaceae	family		0.0	252207	0	3962251.0		0.0	3	0	26.0
pool	4637	Musaceae	family			31296	0				1	0	
pool	1892254	Oscillatoriaceae	family			461	0				1	0	
pool	227387	Thermodesulfobiaceae	family			32361	0				1	0	
pool	186821	Sporolactobacillaceae	family			16374	0				1	0	
pool	775	Rickettsiaceae	family			19308	0				2	0	
pool	1647988	Akkermansiaceae	family			10410	0				1	0	
pool	85031	Nakamurellaceae	family			7218	0				2	0	
pool	7381	Sarcophagidae	family			1217	0				1	0	
pool	34064	Francisellaceae	family			17029	0				1	0	
pool	224380	Desulfonatronaceae	family			32503	0				2	0	
pool	188786	Thermaceae	family			69605	0				1	0	
pool	7089	Bombycidae	family			4811	0				6	0	
pool	1892252	Microcoleaceae	family			3121	0				1	0	
pool	1131492	Aspergillaceae	family			795	0				1	0	
pool	1643948	Kosmotogaceae	family			89901	0				3	0	
pool	1639119	Plasmodiidae	family			20122	0				1	0	
pool	7214	Drosophilidae	family			24789	0				2	0	
pool	9277	Dasyuridae	family			7599	0				1	0	
pool	1331809	Kordiimonadaceae	family			2750	0				3	0	
pool	1963271	Halorubraceae	family			115177	0				11	0	
pool	1763524	Isosphaeraceae	family			1047	0				1	0	
pool	1644056	Haloferacaceae	family			22950	0				3	0	
pool	1937962	Microscillaceae	family			3290	0				1	0	
pool	1892249	Cyanothecaceae	family			28670	0				1	0	
pool	171550	Rikenellaceae	family			198357	0				3	0	
pool	2049	Actinomycetaceae	family			8529	0				1	0	
pool	9816	Orycteropodidae	family			55576	0				2	0	
pool	188711	Thermodesulfobacteriaceae	family			96233	0				5	0	
pool	6407	Glossiphoniidae	family			2077	0				1	0	
pool	31957	Propionibacteriaceae	family			12519	0				6	0	
pool	1706375	Spongiibacteraceae	family			1358	0				1	0	
pool	1843490	Sporomusaceae	family			55337	0				5	0	
pool	188709	Thermotogaceae	family			39248	0				1	0	
pool	84107	Coriobacteriaceae	family			18475	0				1	0	
pool	4479	Poaceae	family			1543	0				1	0	
pool	42302	Lasiosphaeriaceae	family			131421	0				1	0	
pool	85018	Dermatophilaceae	family			1519	0				1	0	
pool	909930	Acidaminococcaceae	family			9463	0				1	0	
pool	9788	Equidae	family			978	0				1	0	
pool	225058	Acidithiobacillaceae	family			8435	0				1	0	
pool	267888	Pseudoalteromonadaceae	family			151785	0				4	0	
pool	186823	Alicyclobacillaceae	family			22977	0				2	0	
pool	124286	Megachilidae	family			85150	0				1	0	
pool	33574	Threskiornithidae	family			5931	0				2	0	
pool	85029	Dietziaceae	family			12296	0				1	0	
pool	9498	Cebidae	family			11309	0				2	0	
pool	10699	Siphoviridae	family			1700	0				1	0	
pool	110618	Nectriaceae	family			1029	0				1	0	
pool	681950	Glomerellaceae	family			4320	0				3	0	
pool	1129771	Leptotrichiaceae	family			5552	0				1	0	
pool	9398	Pteropodidae	family			31221	0				1	0	
pool	9376	Soricidae	family			49749	0				4	0	
pool	543314	Clostridiales Family XIII. Incertae Sedis	family			249099	0				5	0	
pool	134623	Opitutaceae	family			4329	0				1	0	
pool	649777	Synergistaceae	family			23469	0				2	0	
pool	2042895	Gottschalkiaceae	family			139934	0				1	0	
pool	3803	Fabaceae	family			1267	0				1	0	
pool	1890450	Aphanothecaceae	family			7983	0				1	0	
pool	1585420	Liviidae	family			3126	0				1	0	
pool	1903416	Budviciaceae	family			54689	0				5	0	
pool	10744	Podoviridae	family			46506	0				1	0	
pool	337664	Spalacidae	family			20976	0				1	0	
pool	9608	Canidae	family			1424	0				1	0	
pool	1127830	Candidatus Brocadiaceae	family			9649	0				1	0	
pool	4429	Nelumbonaceae	family			8546	0				2	0	
pool	267892	Ferrimonadaceae	family			18923	0				1	0	
pool	558314	Desulfurobacteriaceae	family			79429	0				1	0	
pool	42364	Diatrypaceae	family			2130	0				1	0	
pool	72293	Helicobacteraceae	family			30380	0				1	0	
pool	5262	Pucciniaceae	family			7542	0				1	0	
pool	9681	Felidae	family			93413	0				2	0	
pool	361606	Patulibacteraceae	family			327	0				1	0	
pool	8079	Poeciliidae	family			72739	0				2	0	
pool	2005520	Dysgonamonadaceae	family			192616	0				3	0	
pool	7992	Characidae	family			48325	0				1	0	
pool	125316	Beutenbergiaceae	family			1090	0				1	0	
pool	1706374	Porticoccaceae	family			40261	0				1	0	
