sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Predicted size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Predicted size (seq)	True positives (seq)	True size (seq)
pool	85015	Nocardioidaceae	family	0.9993206673553947	0.8021419907808498	78265045	78211877	97503781.0	0.9818181818181818	0.3745664739884393	330	324	865.0
pool	33958	Lactobacillaceae	family	0.9083706049210507	0.7830367020637908	5578199	5067072	6471053.0	0.9144736842105263	0.6847290640394089	152	139	203.0
pool	90964	Staphylococcaceae	family	0.9223551380129433	0.5742988666554458	1564817	1443317	2513181.0	0.7692307692307693	0.2857142857142857	13	10	35.0
pool	84566	Sphingobacteriaceae	family	0.9786573715968537	0.5513005022958073	17573187	17198129	31195562.0	0.961038961038961	0.4391691394658754	154	148	337.0
pool	213421	Desulfuromonadaceae	family	0.3539888607799474	0.08850463381920429	990195	350518	3960448.0	0.45454545454545453	0.11904761904761904	11	5	42.0
pool	41295	Rhodospirillaceae	family	0.0		377697	0		0.0		17	0	
pool	1903411	Yersiniaceae	family	0.0		4482612	0		0.0		57	0	
pool	186806	Eubacteriaceae	family	0.4901314644280139	0.0791257944702256	833001	408280	5159885.0	0.5	0.0547945205479452	16	8	146.0
pool	45404	Beijerinckiaceae	family			87382	0				3	0	
pool	1804623	Chenopodiaceae	family	0.0		1644033	0		0.0		11	0	
pool	119859	Tolypothrichaceae	family	0.0		5935619	0		0.0		10	0	
pool	1762	Mycobacteriaceae	family	0.9246287902056693	0.987867830907939	13156509	12164887	12314286.0	0.8181818181818182	0.525	77	63	120.0
pool	2012	Thermomonosporaceae	family	1.0	0.9343641827481919	8741645	8741645	9355715.0	1.0	0.7311827956989247	68	68	93.0
pool	85026	Gordoniaceae	family	0.0		14002185	0		0.0		40	0	
pool	3977	Euphorbiaceae	family			176013	0				3	0	
pool	1643950	Fervidobacteriaceae	family	0.9989387879302122	0.903272207953284	3417790	3414163	3779772.0	0.9375	0.7894736842105263	32	30	38.0
pool	53434	Halobacteroidaceae	family	1.0	0.38738121543067283	1099231	1099231	2837595.0	1.0	0.25925925925925924	14	14	54.0
pool	3700	Brassicaceae	family			38302	0				27	0	
pool	186820	Listeriaceae	family	0.0		385182	0		0.0		5	0	
pool	909930	Acidaminococcaceae	family			154489	0				4	0	
pool	2159	Methanobacteriaceae	family			107850	0				1	0	
pool	506	Alcaligenaceae	family	0.9748908461523195	0.9930257431607569	18440486	17977461	18103721.0	0.8532110091743119	0.48947368421052634	109	93	190.0
pool	563835	Chitinophagaceae	family	0.9912146688992202	0.713818148775937	21081391	20896184	29273820.0	0.9622641509433962	0.32075471698113206	53	51	159.0
pool	137	Spirochaetaceae	family	0.9563942071777686	0.6759583150274111	3552051	3397161	5025696.0	0.9230769230769231	0.5070422535211268	39	36	71.0
pool	89373	Cytophagaceae	family	0.9947164896115591	0.6136442546161196	24375650	24246861	39512895.0	0.975609756097561	0.22662889518413598	82	80	353.0
pool	135620	Oceanospirillaceae	family	0.7633288282822366	0.5339852078941967	5974775	4560718	8540907.0	0.8222222222222222	0.3333333333333333	45	37	111.0
pool	213121	Desulfobulbaceae	family	0.9348080783903369	0.1689525972352657	2899439	2710419	16042482.0	0.8571428571428571	0.07250755287009064	28	24	331.0
pool	135617	Thiotrichaceae	family	1.0	0.16779484641124504	695613	695613	4145616.0	1.0	0.11290322580645161	7	7	62.0
pool	5809	Sarcocystidae	family			57996	0				16	0	
pool	200667	Flammeovirgaceae	family	0.8785407378233294	0.9881951585207097	5329433	4682124	4738056.0	0.9166666666666666	0.7586206896551724	24	22	29.0
pool	2137278	Salinarimonadaceae	family			1119	0				1	0	
pool	85031	Nakamurellaceae	family			73015	0				1	0	
pool	543371	Thermoanaerobacterales Family III. Incertae Sedis	family	0.0		993966	0		0.0		30	0	
pool	2092	Mycoplasmataceae	family	0.9772921365790704	0.5451481403954431	1729489	1690216	3100471.0	0.9487179487179487	0.32456140350877194	39	37	114.0
pool	815	Bacteroidaceae	family	0.0		1317273	0		0.0		18	0	
